Titulo,Empresa,Anyo,Genero,Plataforma,Multijugador
Magnetica,Nintendo,2006,"Action,Strategy",Nintendo DS,0
Def Jam Fight for NY: The Takeover,EA,2006,Action,Sony PSP,0
NASCAR 07,EA,2006,"Racing / Driving,Simulation",Sony PSP,0
The Ant Bully,Midway,2006,Action,Nintendo Wii,0
Just Cause,Eidos,2006,"Action,Racing / Driving",X360,0
Onechanbara: Bikini Samurai Squad,,2006,Action,X360,0
Phantasy Star Universe,Sega,2006,Role-Playing (RPG),X360,0
Project Sylpheed: Arc of Deception,"Microsoft,SquareEnix",2006,Action,X360,0
Winning Eleven: Pro Evolution Soccer 2007,Konami,2006,Sports,X360,1
Kororinpa: Marble Mania,Nintendo,2006,"Action,Strategy",Nintendo Wii,1
Digimon World DS,Namco,2006,Role-Playing (RPG),Nintendo DS,0
Justice League Heroes,,2006,Action,Nintendo DS,0
Innocent Life: A Futuristic Harvest Moon,,2006,"Role-Playing (RPG),Simulation,Strategy",Sony PSP,0
Power Stone Collection,Capcom,2006,Action,Sony PSP,0
EA Replay,EA,2006,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",Sony PSP,1
Open Season,Ubisoft,2006,Action,Nintendo Wii,1
Samurai Warriors 2,,2006,Action,X360,1
Far Cry: Vengeance,Ubisoft,2006,Action,Nintendo Wii,1
Import Tuner Challenge,Ubisoft,2006,Racing / Driving,X360,1
Contact,,2006,"Adventure,Role-Playing (RPG)",Nintendo DS,0
Touch Detective,,2006,Adventure,Nintendo DS,0
FIFA Street 2,EA,2006,Sports,Sony PSP,0
007: From Russia with Love,EA,2006,"Action,Racing / Driving",Sony PSP,0
PaRappa the Rapper,Sony,2006,Action,Sony PSP,0
Riviera: The Promised Land,,2006,Role-Playing (RPG),Sony PSP,0
Samurai Warriors: State of War,,2006,Action,Sony PSP,0
Viewtiful Joe: Red Hot Rumble,Capcom,2006,Action,Sony PSP,0
Ice Age 2: The Meltdown,,2006,Action,Nintendo Wii,0
Rumble Roses XX,Konami,2006,"Action,Sports",X360,1
Bionicle Heroes,Eidos,2006,Action,Nintendo DS,0
Deep Labyrinth,,2006,Role-Playing (RPG),Nintendo DS,0
Blade Dancer: Lineage of Light,,2006,Role-Playing (RPG),Sony PSP,0
Every Extend Extra,,2006,Action,Sony PSP,0
Ultimate Ghosts 'N' Goblins,Capcom,2006,Action,Sony PSP,0
Xiaolin Showdown,Konami,2006,Action,Sony PSP,0
Bionicle Heroes,Eidos,2006,Action,X360,0
Bullet Witch,Atari,2006,Action,X360,0
Death Jr. II: Root of Evil,Konami,2006,Action,Sony PSP,1
Alex Rider: Stormbreaker,THQ,2006,"Action,Adventure",Nintendo DS,0
Cartoon Network Racing,,2006,Racing / Driving,Nintendo DS,0
Guilty Gear: Dust Strikers,,2006,Action,Nintendo DS,0
Gunpey DS,Namco,2006,Strategy,Nintendo DS,0
Lara Croft Tomb Raider: Legend,Eidos,2006,"Action,Racing / Driving",Nintendo DS,0
Worms: Open Warfare,THQ,2006,"Action,Strategy",Nintendo DS,0
Mercury Meltdown,,2006,Strategy,Sony PSP,0
MTX Mototrax,Activision,2006,"Racing / Driving,Sports",Sony PSP,0
Snoopy vs. the Red Baron,Namco,2006,Action,Sony PSP,0
Super Monkey Ball Adventure,Sega,2006,"Action,Racing / Driving",Sony PSP,0
Ys VI: The Ark of Napishtim,Konami,2006,"Action,Role-Playing (RPG)",Sony PSP,0
Bomberman Land Touch!,,2006,Action,Nintendo DS,0
Point Blank DS,"Atari,Namco",2006,Action,Nintendo DS,0
Scurge: Hive,,2006,Action,Nintendo DS,0
Star Trek: Tactical Assault,Ubisoft,2006,"Action,Strategy",Nintendo DS,0
Tao's Adventure: Curse of the Demon Seal,Konami,2006,Role-Playing (RPG),Nintendo DS,0
Ford Bold Moves Street Racing,Eidos,2006,Racing / Driving,Sony PSP,0
